VIRTUALUSDT;0;26/05/2025_00;2.5893;27/10/2025_00;1.899;0
A2ZUSDT;0;06/10/2025_00;0.00623;29/12/2025_00;0.00314;0
MOCAUSDT;0;16/06/2025_00;0.06;20/10/2025_00;0.0487;0
ANIMEUSDT;0;13/10/2025_00;0.0111;22/12/2025_00;0.0105;0
